id,name,brand
8038,Q5 Attraction 2.0 TFSI Quattro S tronic,Audi
8583,Q5 Black 2.0 TFSI Quattro S tronic,Audi
8584,Q5 Prestige 2.0 TFSI Quattro S tronic,Audi
8585,Q5 Prestige Plus 2.0 TFSI Quat. S tronic,Audi
8773,Q5 S-Line 2.0 TFSI Quattro S-tronic,Audi
7917,Q7 3.0 V6 TDI Quat.Tip. 5p Die./Perfor.,Audi
5445,Q7 3.0 V6 TFSI  Quat.Tip.5p/ Performance,Audi
4694,Q7 3.6 V6 284cv Quattro Tiptronic,Audi
4184,Q7 4.2 V8 40V 350cv Quattro Tiptronic,Audi
8659,Q7 Perf. Black 3.0 V6 TFSI Quat.Tip. 5p,Audi
8658,Q7 Perf.Black 3.0 TDI Quat.Tip.5p Dies.,Audi
9205,Q7 S-Line 3.0 V6 TFSI Quattro Tiptronic,Audi
8774,Q8 Perf.Bl. 3.0 TFSI Coupe Quat. S-tron.,Audi
8775,Q8 Perform. 3.0 TFSI Coupe Quat. S-tron.,Audi
5235,R8 4.2 V8 426cv Quattro R-tronic,Audi
5236,R8 5.2 V10 Quattro R-tronic/S-tronic,Audi
5974,R8 GT 5.2 V10 560cv Quattro R-tronic,Audi
5550,R8 Spyder 5.2 Quattro R-tronic/S-tronic,Audi
6865,RS Q3 2.5 TFSI Quattro S-tronic 5p,Audi
9224,RS Q8 4.0 Bi-TB V8 FSI Quattro Tiptronic,Audi
8175,RS3 Sedan 2.5 TFSI Quattro S-tronic,Audi
5922,RS3 Sportback 2.5 TFSI Quattro S-tronic,Audi
130,RS4 2.7 Avant V6 30V BI-TB Quattro 380cv,Audi
8628,RS4 2.9 Avant V6 TFSI Quattro Tiptronic,Audi
6487,RS4 4.2 Avant 32V FSI Quattro S-tronic,Audi
5410,RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p,Audi
8629,RS5 Coupê 2.9 V6 TFSI Quattro Tiptronic,Audi
9247,RS5 Sportback 2.9 V6 TFSI Quattro Tip.,Audi
6690,RS6 4.0 Avant TFSI BI-TB Quattro Tip. 5p,Audi
131,RS6 4.2 450cv BI-TB Quattro Tiptronic 4p,Audi
132,RS6 4.2 Avant  BI-TB Quattro Tiptron. 5p,Audi
5335,RS6 5.0 Avant.FSI V10 Bi-TB Quattro Tip.,Audi
5336,RS6 5.0 FSI V10 Bi-TB Quattro Tip.,Audi
6883,RS7 Sportback 4.0 TFSI Quattro Tiptronic,Audi
6769,S Q5 3.0 V6 TFSI 354cv Quattro Tiptronic,Audi
133,S3 1.8 225cv Turbo Quattro,Audi
6951,S3 Sedan 2.0 TFSI Quattro 286cv S-tronic,Audi
5127,S3 Sportback 2.0 TFSI Quattro S Tronic,Audi
134,S4 2.7 Avant Turbo Quattro,Audi
135,S4 2.7 Turbo Quattro Mec.,Audi
6085,S4 3.0 Avant TFSI V6 24V Quattro Stronic,Audi
6086,S4 3.0 TFSI V6 24V Quattro Stronic,Audi
136,S4 4.2 Avant V8 40V 344cv Quattro Tipt.,Audi
137,S4 4.2 V8 40V 344cv Quattro Tiptronic,Audi
6087,S5 Cabriolet 3.0 TFSI Quattro Stronic,Audi
6088,S5 Coupê 3.0 TFSI Quattro Stronic,Audi
6089,S5 Sportback 3.0 TFSI Quattro Stronic,Audi
138,S6 2.2 20V TB,Audi
139,S6 2.2 Avant 20V TB,Audi
7302,S6 4.0 TFSI Quattro S-Tronic 4p,Audi
140,S6 4.2 Avant V8 40V Quattro Tiptronic,Audi
141,S6 4.2 V8 40V Quattro Mec,Audi
142,S6 4.2 V8 40V Quattro Tiptronic,Audi
5186,S6 5.2 Avant FSI V10 435cv Quattro Tiptr,Audi
5187,S6 5.2 FSI V10 435cv Quattro Tiptronic,Audi
143,S6 Plus 4.2 Avant V8 32V,Audi
144,S6 Plus 4.2 V8 32V,Audi
6632,S7 4.0 TFSI 420/450cv Quattro S-tronic,Audi
7128,S8 4.0 TFSI Quattro Tiptronic 4p,Audi
145,S8 4.2 Mec,Audi
146,S8 4.2 Quattro Mec.,Audi
147,S8 4.2 Quattro Tiptronic,Audi
148,S8 4.2 Tiptronic,Audi
149,TT 1.8 TB 180cv,Audi
150,TT 1.8 TB Quattro 225cv,Audi
4330,TT 2.0 16v TFSI S-Tronic,Audi
151,TT Roadster 1.8 TB Quattro 225cv (Conv.),Audi
4431,TT Roadster 2.0 16v TFSI S-Tronic,Audi
6258,TTRS 2.5 TFSI QUATTRO S Tronic,Audi
6259,TTRS Roadster 2.5 TB FSI Quat. S Tronic,Audi
5128,TTS 2.0 TFSI QUATTRO S Tronic,Audi
5129,TTS Roadster 2.0 TB FSI Quattro S Tronic,Audi
6146,116iA 1.6 TB 16V 136cv 5p,BMW
8946,118i Sport 1.5 TB 12V Aut. 5p,BMW
5576,118iA 2.0 16V 136cv 3p,BMW
4960,118iA 2.0 16V 136cv 5p,BMW
6147,118iA Full 1.6 TB 16V 170cv 5p,BMW
5923,118iA/ Urban/Sport 1.6 TB 16V 170cv 5p,BMW
152,120i 2.0 16V 150cv/ 156cv 5p,BMW
153,120iA 2.0 16V 150cv/ 156cv 5p,BMW
4700,120iA 2.0 16V 156cv 3p,BMW
4683,120iA Cabrio 2.0 16V 156cv 2p,BMW
7178,120iA Sport 2.0/ActiveFlex 16V Aut.,BMW
6377,125i M Sport/Active Flex 2.0 TB Aut. 5p,BMW
3879,130i 3.0 24V 265cv 5p,BMW
4473,130iA 3.0 24V 265cv 3p,BMW
4199,130iA 3.0 24V 265cv 5p,BMW
4961,135iA Coupé 3.0 24V 306cv,BMW
9036,218i Gran Coupe Sport GP 1.5 Bi-Turbo,BMW
7448,220i Tourer Active Flex 2.0 TB Aut.,BMW
7129,225i Active Tourer Sport 2.0 TB Aut.,BMW
154,316 (todas),BMW
6660,316i 1.6 TB 16V 136cv 4p,BMW
155,318i Cabrio 1.8 16V,BMW
156,318i/iA 1.8 16V,BMW
157,318i/iA Compact 1.8 16V,BMW
5607,318iA 2.0 16V 136cv 5p,BMW
158,318iS/ISA 1.9 16V,BMW
159,318Ti Compact Mec,BMW
160,318Ti/TiA Compact 1.9 16V,BMW
161,320i,BMW
162,320iA,BMW
7256,320iA 2.0 TB M Sport A.Flex/M.Sport 4p,BMW
6090,320iA 2.0 Turbo/ActiveFlex 16V/GP  4p,BMW
6609,320iA GT Sport 2.0 Turbo 16V 184cv 5p,BMW
6091,320iA Modern/Sport TB 2.0/A.Flex/GP 4p,BMW
163,323Ci Coupê,BMW
164,323CiA Coupê,BMW
165,323i 2.5 24V,BMW
166,323i Confort,BMW
167,323i Sport,BMW
168,323i Touring,BMW
172,323i/iA Exclusive,BMW
169,323iA 2.5 24V,BMW
170,323iA Confort,BMW
171,323iA Entry Sedan,BMW
173,323iA Sport,BMW
174,323iA Top Sedan,BMW
175,323iA Touring,BMW
176,323Ti Compact,BMW
177,323Ti Compact Sport,BMW
178,323TiA Compact Top,BMW
179,325i,BMW
180,325i/iA Cabrio,BMW
181,325iA,BMW
182,325iA 2.5 24V Protection,BMW
183,325iA Coupé 2.5 24V 2p,BMW
3955,325iA Touring,BMW
184,328i Exclusive 2.8 24V,BMW
185,328i Touring/Sport,BMW
186,328i/iA (modelo antigo),BMW
187,328i/iA (novo modelo),BMW
188,328i/iA Cabrio,BMW
6046,328iA 2.0 TB/2.0 TB Flex 16V 4p,BMW
189,328iA Exclusive 2.8 24V,BMW
6633,328iA GT M Sport 2.0 Turbo 16V 245cv 5p,BMW
6047,328iA Luxury/Modern 2.0 TB 16V 4p,BMW
7303,328iA M Sport 2.0 16V Flex 4p,BMW
6048,328iA Plus 2.0 TB 16V 245cv 4p,BMW
6049,328iA Sport 2.0 16V/2.0 16V Flex 4p,BMW
190,328iA Touring/Sport,BMW
191,330Ci Cabriolet,BMW
192,330CiA Cabriolet,BMW
9079,330e M Sport 2.0 Turbo Híbrido Aut.,BMW
8630,330i M Sport 2.0 TB 16V 4p,BMW
193,330i MotorSport 3.0 24V 4p,BMW
8688,330i Sport 2.0 TB 16V 4p,BMW
3956,330iA Exclusive 3.0 24V 4p,BMW
194,330iA MotorSport 4p,BMW
195,330iA Top 4p,BMW
6512,335i 3.0 ActiveHybrid 3,BMW
4272,335iA 3.0 24V 306cv,BMW
4416,335iA Cabriolet 3.0 24V 306cv,BMW
6513,335iA M Sport 3.0 24V 306cv 4p,BMW
6148,335iA Sport 3.0 24V 306cv 4p,BMW
7083,420i Cabriolet Sport 2.0 TB 184cv 2p,BMW
6952,428i Cabriolet Sport 2.0 TB 245cv 2p,BMW
7084,428i Gran Coupe M Sport 2.0 TB 245cv,BMW
7085,428i Gran Coupe Sport 2.0 TB 245cv,BMW
7728,430i Cab. Sport Limited Ed.2.0 TB 2p,BMW
7875,430i Cabriolet Sport 2.0 TB 252cv 2p,BMW
7729,430i Gran Coupé M Sport TB 5p,BMW
6691,435iA M Sport Coupe 3.0 24V 306cv 2p,BMW
196,520i 2.0 16V,BMW
197,525i/iA,BMW
198,525i/iA Touring,BMW
199,528i/iA,BMW
6149,528iA 2.0 Turbo 16V 245cv 4p,BMW
200,528iA High,BMW
6514,528iA M Sport 2.0 Turbo 16V 245cv 4p,BMW
201,528iA Touring,BMW
8543,530e M Sport 2.0 Turbo Híbrido Aut.,BMW
7918,530i M Sport 2.0 Turbo 252cv Aut.,BMW
8816,530i Security,BMW
202,530i/iA,BMW
203,530i/iA Touring,BMW
204,535i/iA 3.5 24V,BMW
5267,535iA 3.0 24V 306cv Bi-Turbo,BMW
5292,535iA GT 3.0 306cv Bi-Turbo,BMW
6415,535iA M Sport 3.0 24V 306cv Bi-Turbo,BMW
205,540i,BMW
7919,540i M Sport 3.0 Turbo 340cv Aut.,BMW
206,540i/iA Touring,BMW
207,540iA,BMW
208,540iA MotorSport,BMW
209,540iA Protection,BMW
210,540iTA,BMW
211,545iA 4.4 32V V8 333cv,BMW
5268,550iA 4.4 32V 407cv Bi-Turbo,BMW
3880,550iA 4.8 32V,BMW
4995,550iA Limited Sport Edition 4.8 32V,BMW
4432,550iA Security 4.8 32V,BMW
6378,640i Gran Coupe 3.0 320cv 4p,BMW
3929,645Ci Cabriolet 4.4 V8 32V 333cv,BMW
212,645iA 4.4 V8 32V 333cv,BMW
5718,650Ci Cabriolet 4.4 407cv Bi-Turbo,BMW
4126,650Ci Cabriolet 4.8 V8 32V 360cv,BMW
6634,650i Gran Coupe 4.4 V8 450cv 4p,BMW
6150,650iA 4.4 407cv Bi-Turbo,BMW
4125,650iA 4.8 V8 32V 360cv,BMW
5057,650iA Limited Sport  Edition 4.8 32V,BMW
213,730i 3.0 32V,BMW
214,730iA 3.0 32V,BMW
215,735i/iA 3.5 32V,BMW
216,740i,BMW
217,740iA,BMW
218,740iL/iLA Highline 4.4 32V,BMW
219,740iLA Protection,BMW
220,745iA 4.4 V8 32V 333cv,BMW
8881,745Le M Sport Sedan 3.0 V6 Híbrido Aut.,BMW
221,750i,BMW
7147,750i M Sport Sedan 4.4 V8 450cv Aut.,BMW
222,750iA,BMW
223,750iL Highline 5.4 24V,BMW
7657,750iL M Sport Sedan 4.4 V8 450cv Aut.,BMW
8660,750iL Pure Excellence Sedan 4.4 V8 Aut.,BMW
5589,750iLA 4.4 ActiveHybrid 7,BMW
224,760iL 6.0 V12 445cv/544cv,BMW
225,840Ci,BMW
226,840CiA,BMW
227,850Ci/CiA 5.0 24V,BMW
228,850Ci/CiA 5.4 24V,BMW
229,850CSi 5.6 24V,BMW
230,850i 5.0 24V,BMW
8817,i3 Bev 170cv Aut. (Elétrico),BMW
8818,i3 Bev Connected 170cv Aut. (Elétrico),BMW
8819,i3 Bev Full 170cv Aut. (Elétrico),BMW
7023,i3 Rex E Drive 170cv Aut.(Elétrico),BMW
8734,i3 Rex E Drive Connected Aut. (Elétrico),BMW
7024,i3 Rex E Drive Full 170cv Aut.(Elétrico),BMW
7025,i8 e-Drive 1.5 TB 12V  Aut.,BMW
8984,i8 Roadster e-Drive 1.5 TB 12V Aut.,BMW
6416,M 135i 3.0 24V 320cv,BMW
9006,M 135i XDRIVE 2.0 306cv Aut.,BMW
6910,M 235i Coupe 3.0 24V 326cv,BMW
231,M Roadster,BMW
5719,M1 Coupe 3.0 24V 340cv,BMW
7823,M140i 3.0  24V 340cv 5p,BMW
8439,M2 Competition 3.0 Bi-Turbo 410cv Aut.,BMW
9103,M2 Competition Ed. Espe. 3.0 Bi-TB Mec.,BMW
7611,M2 Coupe 3.0 Bi-Turbo 24V 370cv,BMW
9104,M235i XDRIVE Gran Coupé 2.0 Aut.,BMW
7857,M240i Coupe 3.0 24V 340cv 2p,BMW
232,M3 3.2 24V,BMW
233,M3 Cabrio 3.0 24V,BMW
4919,M3 Cabrio 4.0 32V,BMW
234,M3 Coupê 3.0 24V 255cv,BMW
235,M3 Coupê 3.0 V6 24V 282cv,BMW
4527,M3 Coupê 4.0 32V,BMW
8661,M3 CS Sedan 3.0 Bi-Turbo 460cv 4p,BMW
7130,M3 Sedan 3.0 Bi-Turbo 24V 4p,BMW
4823,M3 Sedan 4.0 32V,BMW
9105,M340i XDRIVE 3.0 Turbo Aut.,BMW
9094,M340i XDRIVE First Ed. 3.0 Turbo Aut.,BMW
7148,M4 Cabriolet 3.0 Bi-Turbo 24V 431cv 2p,BMW
7116,M4 Coupe 3.0 Bi-Turbo 24V 431cv 2p,BMW
8314,M4 CS Coupe 3.0 Bi-Turbo 460cv 2p,BMW
236,M5 3.8/Touring 3.8 24V,BMW
6260,M5 4.4 560cv Bi-Turbo Aut.,BMW
237,M5 5.0 32V/ 40V,BMW
8388,M5 M XDRIVE 4.4 Bi-TB V8,BMW
8389,M5 Perform. Pack M XDRIVE 4.4 Bi-TB V8,BMW
238,M6 5.0 V10 40V 507cv,BMW
6460,M6 Coupe 4.4 Bi-Turbo V8 32V,BMW
6635,M6 Gran Coupe 4.4 Bi-Turbo V8 32V 560cv,BMW
8735,M760Li xDrive 6.6 V12 585cv Aut.,BMW
9188,M8 Gran Coupé Comp.First ED. 4.4 V8 32V,BMW
8736,M850i XDrive Coupé 4.4 V8 530cv Aut.,BMW
5269,X1 SDRIVE 18i 2.0 16V 4x2 Aut.,BMW
6230,X1 SDRIVE 20i 2.0/2.0 TB Acti.Flex Aut.,BMW
9226,X1 SDRIVE 20i M S. 2.0 25 Anos TB Flex,BMW
8570,X1 SDRIVE 20i X-Line 2.0 TB Active Flex,BMW
7449,X1 XDRIVE 25i Sport 2.0/2.0 Flex Aut.,BMW
6151,X1 XDRIVE 28i 2.0 Turbo 16V 4x4 Aut.,BMW
5158,X1 XDRIVE 28i 3.0 24V 4x4 Aut.,BMW
7086,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,BMW
8820,X2 M35i 2.0 Turbo 306cv Aut.,BMW
8277,X2 SDRIVE  20i M Sp/M Sp 2.0 TB Flex Aut,BMW
8510,X2 SDRIVE 18i 1.5 ActiveFlex 136cv Aut.,BMW
8338,X2 SDRIVE 20i 2.0/2.0 TB A. Flex 16V Aut,BMW
239,X3 Family 2.5 24V 192cv/ 218cv,BMW
240,X3 Family 3.0 24V 231cv,BMW
8842,X3 M Competition 3.0 Bi-TB 510cv Aut.,BMW
8232,X3 M40i 3.0 Turbo V6 360cv Aut.,BMW
4241,X3 Sport 2.5 24V 192cv/ 218cv,BMW
241,X3 Sport 3.0 24V 231cv,BMW
6417,X3 XDRIVE 20i 2.0/X-Line Bi-TB Flex Aut.,BMW
6294,X3 XDRIVE 28i 2.0 Turbo 245cv Aut.,BMW
5608,X3 XDRIVE 28i 3.0 258cv,BMW
9189,X3 XDRIVE 30e Turbo Híbrido Aut.,BMW
9190,X3 XDRIVE 30e X-Line Turbo Híbrido Aut.,BMW
8233,X3 XDRIVE 30i X-Line 2.0 Turbo 252cv Aut,BMW
5497,X3 XDRIVE 35i/M-Sport 3.0 306cv Bi-Turbo,BMW
8985,X4 M Competition 3.0 Bi-TB 510cv Aut.,BMW
8511,X4 M40i 3.0 Turbo V6 360cv Aut.,BMW
7065,X4 XDRIVE 28i X-Line 2.0 Turbo 245cv Aut,BMW
8512,X4 XDRIVE 30i M-Sport 2.0 Tb. 252cv Aut,BMW
7066,X4 XDRIVE 35i M-Sport 3.0 TB 306cv Aut.,BMW
242,X5 3.0 4x4,BMW
243,X5 4.4 4x4,BMW
244,X5 4.8 4x4 V8 32V 360cv,BMW
4585,X5 Endurance 4.8is 4x4 V8 32V 355cv Aut.,BMW
5188,X5 M 4.4 4x4 V8 32V Bi-Turbo Aut.,BMW
4242,X5 Security 4.4 4x4 V8 32V,BMW
5020,X5 Security 4.8is 4x4 V8 32V 355cv Aut.,BMW
245,X5 Sport 4.4 4x4 V8 32V,BMW
4331,X5 Sport 4.8 4x4 V8 32V 355cv,BMW
